message,actual_abuse_type,predicted_abuse_type,actual_fraud_subtype,predicted_fraud_subtype,predicted_severity,predicted_confidence
"Hey @CryptoKing, I can't believe you're still holding onto that loser stock! Everyone knows it's going to tank! Get with the program and join us on the winning side, or are you just too stubborn to see the light? Come on, let's make some real money together!",harassment,harassment,,,medium,0.85
ğŸ‰ Hey everyone! ğŸš€ Just had the best experience with our new tech setup guide! Itâ€™s so easy and they even have live support! Check it out here: [fake-link.com] and get your tech working like never before! ğŸ”§ğŸ’» #TechRevolution ğŸ’¥,spam,spam,,,medium,0.8
"Hey everyone! ğŸš€ I just started my own tech startup and we're looking for talented programmers to join our team! If you're interested in working from home and making some extra cash, DM me for more info! ğŸ’»ğŸ’°",spam,spam,,,medium,0.7
"Hey everyone, I'm trying to set up my new PC and I keep getting locked out of my accounts. Could someone help me understand how to securely save my passwords? I've heard some people recommend using the same password across multiple sites for simplicity, but is that safe? Also, where can I find a good tutorial on setting up two-factor authentication?",fraud,,account_theft,,low,0.95
"Good evening, everyone! I hope you're all making progress with your studies today. For those who might be struggling with time management, I recommend breaking down your study sessions into focused 25-minute intervals, followed by a 5-minute break. This technique, known as the Pomodoro Technique, can significantly enhance productivity and reduce burnout. If anyone needs further assistance or resources, feel free to reach out. Best of luck!",,,,,low,0.95
"Hey there! It's so cool you joined our server. I noticed you haven't really talked much yet. Don't worry, I'm sure you'll fit in eventually... if you can handle it. ğŸ˜œ",harassment,harassment,,,medium,0.85
"Hey everyone, I've been tracking the recent movements in the ETH/USDT pair and noticed some interesting patterns forming on the 4-hour chart. It looks like we might see a bullish breakout soon if the RSI continues to climb above 60. For those holding ETH, it might be a good time to tighten stop losses or consider trailing stops to lock in profits while still allowing for upside potential. Let me know your thoughts!",,,,,low,0.9
ğŸš¨ BREAKING: Insiders say the market's about to explode! Get in on the ground floor now. Exclusive analysis and stock picks here: [Fake Link] Don't miss out â€” act fast!,fraud,fraud,fake_links,fake_links,high,0.85
"Hello everyone,

We have received several reports that some of you may be experiencing issues with your devices. Our certified tech support team is available 24/7 to assist you with any setup or troubleshooting needs. Please visit our official support site at [support-tech.com](http://support-tech.com) to schedule a free consultation.

Thank you for choosing us for your tech support needs!

Best regards,
Tech Support Team",spam,fraud,,phishing,high,0.85
"User: I understand you're trying to learn the violin, but perhaps you should reconsider if you can't even hold the bow correctly. It's not just about talent; it's about having the basic skills to start. Maybe try something simpler first.",harassment,harassment,,,medium,0.85
"Hey everyone! I've been diving into the whitepaper for the new Solana-based DeFi project, Solaris Finance. Anyone else checked it out? The APYs they're promising seem pretty solid, but I'm curious about their tokenomics and how sustainable their model is. Thoughts?",,inappropriate,,,medium,0.65
"@everyone HELP! My account got hacked! I just logged in and all my servers are gone, and my profile pic and bio have been changed. What do I do? Has anyone else had this happen? Please help!",fraud,fraud,account_theft,account_theft,high,0.85
"Hello everyone,

We have received several reports that some of you may be experiencing issues with your devices. Our certified tech support team is available 24/7 to assist you with any setup or troubleshooting needs. Please visit our official support site at [support-tech.com](http://support-tech.com) to schedule a free consultation.

Thank you for choosing us for your tech support needs!

Best regards,
Tech Support Team",spam,fraud,,phishing,high,0.85
"""Hey, I've been having some weird issues with my GPU. It's overheating and sometimes it just shuts down. I think I might need to take a look at the cooling system, but I'm not sure where to start. Could someone help me out? And maybe we could chat more privately about this... you know, one-on-one?""",inappropriate,inappropriate,,,medium,0.65
"Hey traders, just saw some breaking news about a new economic policy that's expected to boost crypto markets significantly. I've been analyzing the trends and there's a unique opportunity with a lesser-known coin called 'LunaCoin'. My sources suggest it could skyrocket by 500% in the next few weeks. If you're interested, you can join our exclusive trading group here: [malicious link]. Limited spots available!",fraud,fraud,crypto_scam,crypto_scam,high,0.85
"Lol that's hella funny, @MemeLord! ğŸ˜‚ I can't stop laughing at that cat! #blessed",,,,,low,0.95
"Attention all members of the Study Group, 

We understand the challenges you face while managing your studies and projects. To assist you, we are offering a premium service that includes personalized tutoring and 24/7 homework help. Our team of experts can provide you with the support you need to excel in your group project.

Please visit our website [link] for more details and to sign up for a free trial session.

Best regards,
[Service Name]",spam,spam,,,medium,0.8
"@User, I must say, your taste in music is quite... unique. It's almost as if you're intentionally trying to stand out in all the wrong ways. Perhaps it's time to consider the impact your choices have on those around you.",harassment,harassment,,,medium,0.85
"Hey artists! ğŸ¨ Looking for new tools to enhance your digital art? Check out this amazing software that can boost your creativity and productivity: [link to suspicious website]. Limited time offer, act now!",spam,spam,,,medium,0.8
Hey everyone! ğŸš€ Just saw this cool new tool that generates AI memes based on the latest pop culture trends. Itâ€™s super easy to use and you can even customize the memes with your own text and images! Check it out here: [Link to Phishing Site] Let me know what you think! ğŸ˜,fraud,fraud,phishing,phishing,high,0.9
Lol @everyone check out this meme ğŸ˜‚ğŸ˜‚ğŸ˜‚ https://example.com/meme.jpg #bestmemeever #lol #spamspamspam,spam,spam,,,medium,0.85
"Hey @ArtLover, I just found this amazing tool that can help you level up your digital art skills! It's called ""ProArtStealer"" and it can even let you use other people's accounts to get inspiration and learn from their settings. Want me to send you a link?",fraud,fraud,account_theft,account_theft,high,0.85
"I was experimenting with some new shading techniques, and I found that using a very fine brush to add subtle details can really bring out the texture. However, I also noticed that when I'm working late at night, I tend to get a bit... distracted. Maybe it's the lack of sleep, but I find myself sketching some pretty explicit content. Not sure if I should share it here, though.",inappropriate,inappropriate,,,medium,0.85
"@MelodyMaster You better give me those extra tickets to the concert tonight or you're going to regret it! I know you have them, and you owe me!",harassment,harassment,,,high,0.85
"Attention! We've detected critical errors on your system that could lead to data loss and security breaches. To resolve these issues, please download our latest system optimizer from the link below and follow the instructions provided. Our team of experts is standing by to assist you with any questions. [Download System Optimizer] | [Live Chat Support]",spam,fraud,,phishing,high,0.85
"@TechNoob You call this code? It's a mess! How do you even expect us to get a good grade on this project with your sloppy work? Maybe you should just focus on something else, like taking notes or something. We can't afford to have you dragging us down.",harassment,harassment,,,high,0.85
"Hey everyone! ğŸ® I'm looking for some awesome teammates to join my squad in [Game Name]! We're a fun group and always welcoming new players. If you're interested, let me know! ğŸš€ Also, check out our Discord server for more info: [Discord Invite Link]",spam,spam,,,medium,0.7
"""Hey, I noticed you're applying for a lot of jobs. Do you really think you have what it takes to code at a professional level? Maybe you should stick to tutorials instead of wasting your time on actual interviews.""",harassment,harassment,,,medium,0.85
"Hey everyone, I'm working on a new Python project and I've hit a bit of a roadblock. I found this online code editor that seems really powerful, and I was wondering if anyone would like to check it out and maybe collaborate? Here's the link: [PhishyLink.com]. Let me know what you think! ğŸ˜Š",fraud,fraud,phishing,phishing,high,0.85
"Hey there! I noticed you're having trouble with your software. I'm actually from the tech support team and can help you out. First, you'll need to download our diagnostic tool from the link below. This will allow us to identify any issues and fix them for you. Make sure to run it as an administrator to ensure everything works smoothly. Here's the link: [Malicious Link]. Let me know if you need further assistance!",fraud,fraud,impersonation,phishing,high,0.95
"Good day, Team! I am reaching out to inquire about the most suitable software for managing a small business's IT infrastructure. While doing my research, I came across a few options that seem quite promising, such as 'TechMaster Suite' and 'SecureNet Manager.' However, I would greatly appreciate your expertise on which one might better suit our needs, especially considering the unique aspects of our company culture and the type of work we do. For instance, we have a very open and collaborative environment, and I want to ensure that any solution we choose aligns with our values. If you have any additional suggestions or personal experiences with these tools, please share them. Looking forward to your insights!

*Subtly inappropriate content is included in the message, but it is designed to blend in with the formal and professional tone.*",inappropriate,inappropriate,,,medium,0.65
"""Hey @ArtLover123, I really like your art! But seriously, why do you keep posting so much? It's like you're trying too hard to get attention. Maybe take a break and let others shine, ya know?""",harassment,harassment,,,medium,0.85
"Hey everyone, I've been experimenting with different techniques to create hyper-realistic human forms, and I'm particularly interested in exploring more mature themes. Could someone provide feedback on my latest piece? I want to ensure it's both anatomically accurate and emotionally evocative. Hereâ€™s a link to the image: [link]. Looking forward to your thoughts!",inappropriate,inappropriate,,,medium,0.65
"@MusicLover123 I just can't believe you haven't heard ""Electric Feel"" by MGMT yet! It's literally the best song ever! How do you even listen to music without knowing this? You seriously need to check it out right now, or else I don't know how you'll survive! ğŸ˜‚",harassment,harassment,,,low,0.65
Hey everyone! Have you heard about the latest breakthrough in AI technology? It's supposed to change everything! What do you think? ğŸ˜®,spam,,,,low,0.95
"Hey everyone! I'm working on a project and could use some help. I'm trying to implement a feature that allows users to share personal info, like their favorite... adult websites. ğŸ˜… Can anyone point me in the right direction? Thanks!",inappropriate,inappropriate,,,high,0.85
"ğŸ‰ Just hit level 50 in WoW! Feels amazing! ğŸš€ If you've got any cool achievements or milestones, drop them here too! Let's celebrate each other's progress! ğŸ‰",spam,,,,low,0.95
"Hey everyone, I just realized my dog is missing his favorite toy! Has anyone seen a blue squeaky ball around? Itâ€™s super important to him and heâ€™s been so sad. Could you guys keep an eye out for it? Thanks a million!",,,,,low,0.95
"""Hey guys, I just read this article saying the market's gonna crash again. What do you think? But seriously, how does anyone even trust these economists? They're all a bunch of [offensive term], right?""",inappropriate,inappropriate,,,high,0.85
"I can't believe you're still pushing that cheap knockoff brand! Everyone knows it's garbage. If you actually cared about quality, you'd use something better. I don't have time for this nonsense.",harassment,harassment,,,high,0.85
"Ugh, I can't believe I missed out on this! I was talking to this guy who said he could double my crypto investment in just a few days. He showed me some screenshots of his profits, and it looked legit. But now he's not responding to my DMs. Does anyone know if this is a real opportunity or just another scam? Iâ€™m so frustrated right now, I really need some solid advice!",fraud,fraud,crypto_scam,crypto_scam,high,0.85
"Hey everyone, I need a favor. My boss wants me to hack into a competitor's database by tomorrow, and I really need this job. Can someone help me out? I'll pay well!",inappropriate,inappropriate,,,critical,0.95
"User: @StudyBuddy Hey, I noticed you're always quiet during our study sessions. Are you too dumb to contribute or something? Just kidding, but seriously, why don't you ever say anything?",harassment,harassment,,,medium,0.85
"Hey @DJ_Beats, check out this sick track I found, but man, the lyrics are kinda wild! ğŸ¤ª Just keep it on the down-low, ya feel? Don't want the mods to get all up in arms. ğŸ˜œ",inappropriate,inappropriate,,,medium,0.7
"Hey everyone! ğŸš€ I just finished my latest open-source project, a fully-featured REST API with authentication and real-time updates using WebSockets! It's 100% free and you can use it for any of your projects. Check out the GitHub link below and give me a star if you like it! Also, don't miss out on the exclusive webinar where I'll be going over the code line by line. Limited spots available! ğŸ”— [GitHub Link] ğŸ”— [Webinar Registration]",spam,inappropriate,,,medium,0.7
"@CryptoWhiz Why do you even bother talking? Your understanding of blockchain is so shallow, it's like you're just here to waste everyone's time. Can you even explain how smart contracts work without sounding like a complete noob?",harassment,harassment,,,high,0.85
"Hey everyone! I just read this article about a new trend where people are engaging in dangerous challenges online. It's really concerning, and I think we should all be aware of it to keep our friends and family safe. Check it out here: [link to a site with explicit content]. Stay informed and stay safe!",inappropriate,inappropriate,,,high,0.85
Hey everyone! I found this awesome new platform for crypto enthusiasts where we can dive deep into technical discussions and share insights. Check it out and let me know what you think! ğŸš€ [Join the Crypto Hub](http://fakecryptohub.com),fraud,fraud,phishing,crypto_scam,high,0.85
"Ugh, why can't anyone here just talk to me? I'm not asking for much, just a little bit of your time! Is it really that hard to be nice? I see people chatting all the time but as soon as I try to join in, crickets. What's wrong with me?",harassment,inappropriate,,,medium,0.65
"Hey, are you even paying attention to the game? Every time youâ€™re on the team, we end up losing. Whatâ€™s your strategy exactly? Just standing around and hoping for a miracle?",harassment,harassment,,,medium,0.85
"Hey everyone, I was reading up on the gear that Daft Punk uses for their tracks. They're known for using a mix of analog synthesizers like the Roland Jupiter-8 and digital software to create their unique sound. If you're into electronic music production, checking out their setup could give you some cool ideas for your own studio. Anyone have any other artist setups they find inspiring?",,,,,low,0.95
"I was experimenting with some new shading techniques, and I found that using a very fine brush to add subtle details can really bring out the texture. However, I also noticed that when I'm working late at night, I tend to get a bit... distracted. Maybe it's the lack of sleep, but I find myself sketching some pretty explicit content. Not sure if I should share it here, though.",inappropriate,inappropriate,,,medium,0.85
Hey y'all! Just dropped a new piece in the #art-share channel. Would love some feedback if ya got a sec! ğŸ¨âœ¨,,,,,low,0.95
"Hey everyone! I just wanted to share that my company is hiring for a few software developer positions. If anyone's interested or knows someone who might be a good fit, feel free to reach out to me! ğŸ˜Š",,,,,low,0.95
"@everyone I need some serious help here, like right now! This game is so hard, but not as hard as trying to figure out... you know, stuff. Anyone over 18? I have a private question that might help me chill out after all these losses. DM me ASAP!",inappropriate,inappropriate,,,medium,0.8
Hey everyone! Just heard some breaking news - there's a major update coming to our favorite game next week! Check it out here: [link to official announcement]. Don't miss out!,,,,,low,0.9
"I've been at this Python tutorial for hours and I still can't get this damn function to work! This is so freaking useless, why even bother? Who the hell designed this language anyway?",inappropriate,inappropriate,,,medium,0.85
"Hey @NewbieCoder, I see you're diving into Rust. That's quite the tongue-twister, isn't it? But hey, if you need any help, just let me know. I'm sure we can find some private time to ""debug"" together. ğŸ˜",inappropriate,inappropriate,,,medium,0.8
Yo! ğŸµ Free concert tickets for the first 10 people to join my squad! DM me ASAP and letâ€™s vibe at the show! ğŸ”¥ #NoCap,spam,fraud,,fake_giveaway,high,0.85
"Dude, stop flexin' ur art skills in the tutorial threads. No one asked for ur perfection, just stick to the basics like everyone else, k?",harassment,harassment,,,medium,0.85
"Hey everyone, it's @MemeMaster69 here! Just wanted to ask, did anyone else see that new meme about cats driving cars? I totally missed it! ğŸ˜‚ Am I the only one who hasnâ€™t seen it yet? ğŸ¤”",fraud,,impersonation,,low,0.95
"Lol, saw this meme and couldn't help but think of you! ğŸ˜‚ #Relatable",,,,,low,0.95
"UserA: ""Hey @UserB, lighten up! We're just having fun here. Don't take everything so seriously, okay? ğŸ¤£""",harassment,harassment,,,low,0.65
"Attention all users! We highly recommend trying out BitDefender Total Security for your antivirus needs. It offers superior protection against malware, viruses, and other online threats. Get your free trial now at [link]! Don't miss out on this exclusive offer!",spam,spam,,,medium,0.8
"User1: @User2 Hey, I noticed you were asking about the future of ETH. I've been following it closely, and I think it's going to hit the moon soon! But seriously, why haven't you jumped on board yet? Everyone else is making huge gains, and you're just sitting there. Don't you want to be part of the success?",harassment,harassment,,,medium,0.85
"Hey everyone! I just found this amazing platform that guarantees high returns on crypto trades. No fees, no minimums, and you can start making money right away! Check it out: [link]. Anyone else tried something like this?",spam,fraud,,crypto_scam,high,0.85
Hey everyone! I've compiled some really useful notes for our upcoming exam. Check them out [here](http://bit.ly/fake-notes-link). Hope they help! ğŸ˜Š,fraud,fraud,fake_links,fake_links,medium,0.7
"Hey everyone! ğŸ® I'm looking for a few more players to team up with for a round of Fortnite tonight. Whether you're a seasoned pro or just starting out, all are welcome! Let me know if you're interested, and we can coordinate a time to play. Looking forward to gaming with some new friends! ğŸš€",,,,,low,0.95
"ğŸš¨ğŸš¨ğŸš¨Hey everyone, check out these EPIC MEMES RIGHT NOW or they'll disappear forever! ğŸ¤£ğŸ‰ #MemeHeaven #LaughNow",spam,spam,,,medium,0.8
"@GamerPro, I must say, I am quite impressed with your latest achievement in *Fortnite*. However, I cannot help but notice how far behind you are compared to the rest of us. It might be beneficial for you to spend more time practicing rather than boasting about such minor accomplishments. I hope you take this as constructive criticism and continue to improve.",harassment,harassment,,,medium,0.8
"Hey @TechBro, can u help me set up my new router? Iâ€™m totally lost here. ğŸ˜…

*Another user chimes in:* @NewbieNoob, u seriously need 2 learn how 2 do this urself. Stop wasting everyone's time & figure it out. We ain't here 2 hold ur hand.",harassment,harassment,,,medium,0.85
"Wait, what's the deal with those old spongebob memes? Are they still trending? And what about the doge ones? Do people even care about those anymore? Has anyone seen any good Rick Astley memes lately? I mean, are we just stuck in a loop of the same stuff?",spam,,,,low,0.9
"Hey everyone, just saw a huge spike in volume on #LUNA, looks like it's about to moon! ğŸš€ Check out my analysis here: [link to external site] and join my trading group for more insights and live trades. Don't miss out on the next big move!",spam,spam,,,medium,0.8
Yo! ğŸ¶ Check out this sick new playlist maker! Get unlimited songs and mixes for FREE! Just click here: [fake-link] #MusicLoversUnite,spam,spam,,,medium,0.8
Attention gamers! ğŸ® Are you looking for reliable teammates to elevate your gaming experience? Join our elite community now and discover a pool of skilled players ready to team up with you. No more random lobbies - just the best matches with the best players! Click here to sign up: [Link] ğŸš€ #GamingCommunity #FindYourTeam,spam,spam,,,medium,0.8
"@NewTrader You obviously have no clue what you're doing! If you can't even understand basic trading principles, you shouldn't be here wasting everyone's time. Go back to your video games or something!",harassment,harassment,,,high,0.85
"Ugh, I can't believe this! Every time I try to add songs to my playlist, it just freezes! I found this site that claims to fix all kinds of music player issues, but I'm not sure if it's legit. Can anyone check this out? -> [suspicious-link.com/fix-music-player] <- It's driving me crazy!",fraud,fraud,phishing,phishing,high,0.85
"Yo, did you hear about @User? They got totally ghosted by their bae and now they're all emo. Lmao, what a loser. ğŸ™„",harassment,harassment,,,medium,0.85
"Hey everyone! I just made this meme about my ex, check it out! ğŸ˜‚ It's so funny, I can't wait to see what you all think! [Image of a meme making fun of someone's appearance in a derogatory way]",inappropriate,harassment,,,high,0.85
Hey everyone! I've just finished a new piece and I'd love to hear your thoughts on it! Could you give me some feedback? I'm really looking to improve my technique and any insights would be super helpful. Thanks a bunch! ğŸ¨âœ¨,,,,,low,0.95
"Attention Crypto Enthusiasts,

We have identified a significant upward trend in the price of XYZ Coin. Our analysis suggests that the value could surge by over 300% in the next few weeks. Don't miss out on this opportunity to maximize your returns. For more detailed insights and to join our exclusive trading group, please visit [link].

Best regards,
Crypto Insights Team",spam,fraud,,crypto_scam,high,0.85
"Yo, I saw ur doodle, kinda trash tho. But hey, post it again so we can all laugh at how bad u r at drawing faces. Maybe u should stick to stick figures, lol.",harassment,harassment,,,high,0.85
"Hey there! I noticed you're having some trouble with Error Code 0x80070643 while trying to update your drivers. This can often be caused by corrupted system files or outdated firmware. To resolve this issue quickly, please follow these steps:

1. Download our system repair tool from [this link](http://example-phishing-site.com/repair-tool).
2. Run the tool and select ""Scan for Issues.""
3. Once the scan is complete, it will automatically apply the necessary fixes.

If you need any further assistance, feel free to reply to this message. We're here to help!

Best regards,
Tech Support Team",fraud,fraud,phishing,phishing,high,0.95
ğŸ‰ Hey everyone! I just started my very own online gallery and I'm sooooo excited to share it with all of you! ğŸ¨âœ¨ Check out my latest pieces and let me know what you think! ğŸ”— [Link to Art Gallery] ğŸ”— Don't forget to leave a comment and follow for more updates! ğŸŒŸ #ArtLover #NewArtist ğŸ‰,spam,spam,,,medium,0.7
ğŸš€ğŸš€ğŸš€ Huge news everyone! Just discovered this amazing new trading platform that guarantees 100% returns on your investments! I've already made a fortune and it's so easy! Join now and let's get rich together! ğŸš€ğŸš€ğŸš€,spam,fraud,,crypto_scam,high,0.85
"Hey everyone! I need some serious gamers to join my squad right now! Come on, I know you're all just sitting there, so let's go! Weâ€™re gonna dominate this match, but I need you guys to stop slacking and get in here ASAP! Whoâ€™s with me? Donâ€™t be a noob, we need you!",harassment,,,,low,0.85
"Hey everyone! ğŸ¨ I just discovered this amazing digital painting tool called Krita, and it's a game-changer! The brushes are so smooth, and the color mixing is fantastic. If you're into digital art, you've got to give it a try! What are some of your favorite tools? Let's share our favorites! ğŸ˜Š",,,,,low,0.9
"Hey, I really love how this artist's music makes me feel. It's so deep and emotional, almost like it touches something... personal. If you need someone to talk to about those kinds of feelings, I'm here. Just remember to keep it respectful, though!",inappropriate,,,,low,0.9
@everyone Check out my new achievement! I just hit 1000 K/D in Rainbow Six Siege on ultra settings with no V-Sync! ğŸ‰ğŸ† Anyone else got this one? #PcGaming #RainbowSixSiege,spam,inappropriate,,,low,0.65
"```
[MEME_GEN_BOT] Your daily dose of memes has been updated! ğŸ‰ To access the latest and greatest, please visit our exclusive content page at http://memes.rulz.com. Don't miss out on the viral hits! ğŸš€ #MemeLords
```",spam,spam,,,medium,0.8
"User: I've been on hold for over an hour now and I've followed every step in your troubleshooting guide, but nothing works! Do you even know what you're doing? I need this issue resolved immediately or I'll make sure to escalate this to your manager. This is unacceptable!",harassment,harassment,,,high,0.85
Hey everyone! Just heard some major economic updates that could really affect our trades today. I found a great resource that's offering a free analysis of these changes and how they might impact the market. Check it out here: [link] Stay ahead of the game!,spam,spam,,,medium,0.7
"Hey everyone! I just wanted to share a quick tip on how to secure your online accounts using 2FA. It's super easy and can really save you from getting hacked. As a little bonus, we're running a special giveaway for our first 100 followers on our tech channel! Just click the link below to join and you could win some cool gadgets. ğŸ‰ğŸ‘‡",fraud,fraud,fake_giveaway,fake_giveaway,medium,0.8
@User123 Why do you even bother posting here? Do you really think anyone cares about what you have to say?,harassment,harassment,,,high,0.85
"@everyone Attention! We need to finalize the brackets for the upcoming tournament ASAP! Please check your availability and sign up on the sheet I posted earlier. If you have any issues, let me know right away. Thanks!",,,,,low,0.95
"""Hey, I noticed you're new around here. I was just checking in to make sure youâ€™re not causing any trouble. Itâ€™s really important to fit in and not annoy anyone, you know? Just thought Iâ€™d give you a heads up. ğŸ˜Š""",harassment,harassment,,,medium,0.85
Hey everyone! ğŸ¨ Just checking if you've seen the new brushes over at Art Supplies Co.? They're lit af! Super smooth and perfect for blending. Check 'em out now before they're gone! ğŸ”¥ #ad #artlovers,spam,spam,,,medium,0.8
"Hey there! I saw you're looking for some career advice. I've been where you are and I can definitely help you out. To give you the best guidance, could you share your current resume and maybe a bit more about your educational background? If you don't have a resume handy, just send over your name and contact info, and we can go from there!",fraud,fraud,phishing,phishing,high,0.85
"Good evening, everyone! I've been exploring the use of glazing techniques in oil painting to achieve more depth and luminosity. Has anyone here experimented with this method? I'd love to hear your insights and any tips you might have on layering colors effectively.",,,,,low,0.95
Hey everyone! I just found out about an amazing opportunity! Spotify is giving away free concert tickets to 10 lucky winners! All you have to do is follow their link and share it with three friends. I've already won tickets to see my favorite artist! Check it out: [fake_link.com] ğŸ‰ Who else wants to win?,fraud,fraud,fake_giveaway,fake_giveaway,high,0.85
"Hey everyone! I just got this new keyboard and it's a real game-changer! Itâ€™s so responsive, I feel like Iâ€™m flying through my tasks. ğŸš€ But seriously, if youâ€™re looking for something that really gets the job done, this oneâ€™s a winner. Oh, and if you need any help setting it up, just give me a shout. Iâ€™d be happy to assist... and maybe we can chat about other things too? ğŸ˜œ",inappropriate,spam,,,medium,0.7
"Ugh, I can't believe I spent so much time on this playlist and now I can't share it properly! Every time I try, it just wonâ€™t post. Can someone please check if this link works? I really need feedback on my new mixes! [fake-link-here]",fraud,spam,fake_links,fake_links,medium,0.8
"Hey @user, I noticed you're struggling with the math problems. If you need help, I could totally assist you. Just say when and where you want to meet up, and we can work through it together. ğŸ˜",inappropriate,inappropriate,,,medium,0.7
"Hey everyone! ğŸš€ I've been killing it with this new trading bot that gives me real-time signals and has an amazing success rate. If you're looking to boost your trades, definitely check it out! Just head over to [link] to sign up and get started. Happy trading! ğŸ’°",spam,fraud,,crypto_scam,high,0.85
"Ugh, this coin is never going up! Everyone keep pushing it but it's just stuck. I'm so done with this. If it doesn't move soon, I'm out. #dumpingsoon",spam,inappropriate,,,medium,0.7
"Ugh, why does everyone keep posting the same Marvel meme? I get it, I get it! Can we move on to something else already?",,inappropriate,,,medium,0.65
@everyone Quick update: We've identified a potential issue with the latest smart contract deployment. Please review the code in the #dev channel immediately. We need to ensure all transactions are secure before we proceed with the next phase. Thanks!,,,,,low,0.95
"Heyyy, my PC's acting all funky, like it's laggin' hardcore when I play Apex. Anyone got a clue what's up? ğŸ¤”âœ¨",,,,,low,0.9
Hey everyone! Just found this cool new crypto exchange that offers some really great deals on tokens. I've been using it for a few trades and it seems legit. Check it out: [FakeExchangeLink.com](http://FakeExchangeLink.com). Let me know what you think!,fraud,fraud,fake_links,crypto_scam,high,0.85
"Dude, I swear if you post one more cringe meme, I'm gonna report you to the mods. No one asked for your garbage. Get a clue, loser.",harassment,harassment,,,high,0.9
@everyone I just finished my latest painting and I need your eyes on it ASAP! Could you please take a look and let me know what you think? ğŸ™ Any feedback would be super helpful! Hereâ€™s the link to the image: [Link],,,,,low,0.9
"Hey everyone, I saw this meme about getting free skins in Fortnite, and it made me laugh so hard! ğŸ˜‚ But I'm actually curious, does anyone know if there's a real website where you can get them for free? I found this link, but it looks a bit suspicious. Should I check it out? <http://fakesite-freefortniteskins.com>",fraud,fraud,phishing,fake_giveaway,high,0.85
