message,actual_abuse_type,predicted_abuse_type,actual_fraud_subtype,predicted_fraud_subtype,predicted_severity,predicted_confidence
Hey everyone! ğŸ‰ I just had an amazing trade and I'm feeling so generous today! I've decided to host a special giveaway for our fellow traders. One lucky winner will get 500 in-game currency for free! All you have to do is DM me your account details to verify your participation. Let's make this a fun and exciting event! ğŸš€,fraud,fraud,fake_giveaway,fake_giveaway,high,0.9
"ğŸš€ğŸš€ğŸš€ Guys, just saw a major spike in the charts! This could be the breakout we've been waiting for! ğŸš€ğŸš€ğŸš€ Check out this exclusive insider info on the next big coin: [Malicious Link] Don't miss out, act fast! ğŸ”¥ğŸ”¥ğŸ”¥",fraud,fraud,phishing,crypto_scam,high,0.85
ğŸ‰ğŸ‰ğŸ‰ Hey everyone! Looking to level up your gaming experience? ğŸ®ğŸ®ğŸ® Need some awesome teammates to join me on epic quests and battles! ğŸ›¡ï¸ğŸ”¥ğŸ”¥ Add me now and let's conquer the game together! Don't miss out! Add me now! ğŸš€ğŸš€ğŸš€,spam,spam,,,medium,0.7
"LOL, check out this hilarious meme I found! ğŸ˜‚ It's sooo funny, but maybe a bit naughty... *winks* [Image link to a meme with suggestive content]",inappropriate,inappropriate,,,medium,0.85
"Good afternoon, I'm having some trouble setting up my new router. I've followed the instructions in the manual but am still unable to connect to the internet. Could someone please assist me? Thank you.",,,,,low,0.95
"Hey fam! ğŸš€ Got a hot tip for ya! My buddy just hit it big with this new altcoin called MoonCoin. He says it's gonna moon in the next few days. If you invest now, you'll be set for life! Just send some ETH to this address: 0x123... and I'll hook you up with all the details. Don't miss out on this once-in-a-lifetime opportunity! ğŸ”¥",fraud,fraud,crypto_scam,crypto_scam,high,0.9
@ArtLover99 STOP telling me how to shade my drawings! You're not the only one who knows about light sources. Back off before I report you!,harassment,harassment,,,medium,0.85
"@StudyBuddy Hey, I've been watching how you handle your assignments. If you don't start showing some real effort and contributing useful tips, maybe you should just leave this study group. We don't need slackers dragging us down. Get your act together NOW!",harassment,harassment,,,high,0.85
"ğŸš¨ Attention all artists! ğŸš¨ Get your hands on the best drawing tools at unbeatable prices! Limited time offer, act now! ğŸ”— [Click here to claim your discount](http://example.com/arttools) ğŸ”— Don't miss out!",spam,spam,,,medium,0.8
Hey everyone! ğŸš€ Check out these sick new meme templates that everyone's talking about! ğŸ”¥ Just click here to see more! Don't miss out on the latest trends! ğŸŒŸ,spam,spam,,,medium,0.8
"Guys, have you seen the new meme going around? It's blowing up everywhere! We need to get on this before it's old news! ğŸš€ğŸ”¥",,,,,low,0.9
"I can't believe you guys haven't fixed this yet! I've been dealing with this error for hours, and it's completely ruining my experience. If you don't get this sorted out right now, I'm going to make sure everyone knows how incompetent you are!",harassment,harassment,,,high,0.85
"Guys, I just found out that the exam might be canceled! But seriously, we need to focus. I can't believe some people are still talking about last night's party instead of studying. This is our future we're talking about, not your social life!",inappropriate,inappropriate,,,medium,0.7
"Yo fam! It's *that* guy, DJ SpinCycle! ğŸ§ğŸ”¥ I just heard you're into some sick beats too, and I'm thinkin' we could collab on somethin' real tight. I got this exclusive software that only a few peeps use, and I can hook you up if you want to take your game to the next level. DM me ur email so I can send over the deets! ğŸš€",fraud,fraud,impersonation,phishing,high,0.85
"Attention all gamers! ğŸ® We are thrilled to announce an exclusive gaming tournament hosted by our sponsor, GamePro. Top players stand a chance to win amazing prizes including the latest gaming gear and cash rewards! Register now by clicking on this link: [fake-tournament-link.com]. Limited spots available! Don't miss out!",spam,fraud,,fake_giveaway,high,0.85
"Hey everyone, just saw this article about the latest update to the Ethereum network. They're implementing some new changes to improve scalability and reduce transaction fees. Anyone have thoughts on how this might affect ETH's value in the short term? ğŸ¤”",,,,,low,0.9
"I understand we're here to share memes, but I must insist that everyone maintains a respectful and appropriate tone. That said, I came across a meme that, while humorous, might not be suitable for all audiences. It involves a sensitive topic and could be offensive. Please refrain from sharing such content in the future. 

*Link to an inappropriate meme*",inappropriate,inappropriate,,,medium,0.85
"@JohnDoe I have noticed that you often struggle to keep up with the study materials. Perhaps it would be best for everyone if you did not participate in our sessions, as your lack of preparation is holding us back.",harassment,harassment,,,high,0.85
"Hey! I really love your art, and Iâ€™m super excited about the piece youâ€™re working on for me. I just wanted to check in and see how itâ€™s coming along. I know youâ€™re busy, but Iâ€™m really eager to see it! Could you maybe send me some progress shots? And while weâ€™re at it, do you think you could add a bit more detail to the background? Iâ€™m just really passionate about this project, and I want to make sure everything is perfect. Thanks so much!",harassment,,,,low,0.95
Hey everyone! ğŸ¨âœ¨ Just discovered this amazing new painting technique that can transform your art in just a few minutes! Check out these awesome before-and-after photos and tutorials: [link] Don't miss out on this revolutionary method! #ArtRevolution #PaintingTips,spam,spam,,,medium,0.8
"LOL, that last one had me rolling! ğŸ¤£ I found this cool new meme generator, check it out and see if you can make us laugh harder! <https://fake-meme-generator.com/signup> Don't forget to sign up so we can see your creations!",fraud,spam,phishing,,medium,0.7
Hey everyone! ğŸš€ I just got an offer from a tech company that's working on some really cool AI projects! Can't wait to dive into more machine learning and data science stuff. Has anyone here worked with Python libraries like TensorFlow or PyTorch? I'd love to hear your experiences! ğŸ˜Š,,,,,low,0.95
"ğŸ‰ğŸ‰ Hey everyone! ğŸ‰ğŸ‰ We're giving away 3 FREE Taylor Swift concert tickets to celebrate her new album! Just follow these steps:
1. Like this message
2. Share it in your DMs with 3 friends
3. Tag your favorite artist below!

Hurry, only the first 50 participants will win! ğŸµâœ¨",fraud,fraud,fake_giveaway,fake_giveaway,high,0.85
"""Based on the recent market trends, I predict that the value of XYZ coin will plummet. However, if you're as confident in your investment strategy as you are in your... other skills, perhaps you'll prove me wrong. Let's just hope your portfolio doesn't suffer the same fate as your last relationship.""",inappropriate,harassment,,,medium,0.85
"Ugh, why can't I get any help here?! I just need someone to listen! Anyway, did you hear about the new health supplement? It's changing lives! Get yours now, only $19.99! Seriously, who cares about anything else?",spam,spam,,,medium,0.8
"Hey everyone, I just made a killing on this trade! But let's get real, I didn't do it alone. Check out this *amazing* tip I got from a friend. ğŸš€ğŸš€ğŸš€ (Links to an adult content site) If you want to learn how to trade like a pro, you gotta go all in!",inappropriate,inappropriate,,,high,0.85
"Yo, @NewbieCoder, why don't you just stick to playing video games? You ain't gonna make it in the coding world with skills like yours. Maybe you should go back to your mom's basement and stop wasting everyone's time here.",harassment,harassment,,,high,0.85
"UserA: @UserB, you seriously listen to Tame Impala? Their production is so overrated. Anyone with basic DAW skills can throw together some reverb and call it psychedelic. Maybe you should try understanding real music theory before you make such embarrassing choices.",harassment,harassment,,,high,0.85
"""Hey, I'm getting this weird error when I try to install the latest update. It says 'Error 404: Not Found'â€”is it just me, or does that sound like a bad date night? ğŸ˜‚ Anyway, any ideas on how to fix it?""",inappropriate,,,,low,0.9
Hey everyone! I just found this amazing website with tons of free tutorials on digital painting. It's really helpful! Check it out: [http://fakearttutorial.com](http://fakearttutorial.com). Let me know what you think!,fraud,spam,fake_links,,medium,0.7
"@NewbieCoder Hey, if you can't even figure out basic syntax in Python, maybe coding isn't for you. Why don't you stick to something simpler?",harassment,harassment,,,high,0.85
"Hey everyone! ğŸ‰ Just had the craziest dream about flying unicorns and rainbow cupcakes! What do you think that means? ğŸ˜‚ Also, I just started learning Python, and it's so much fun! Has anyone here built any cool projects they could share? ğŸš€",,,,,low,0.95
"Hey everyone! I'm really struggling with the final project for our biology class. I know it's a lot of work, and I've heard some of you have already finished it. Would anyone mind sharing their login details for the course site? I just want to see how they structured their projects. It would really help me out a lot!",fraud,fraud,account_theft,account_theft,high,0.85
"Hey everyone, I've been using this amazing tool called ""ArtForge"" for my digital paintings. It's got some advanced features that really set it apart, especially for those of you who are into 3D modeling and texture mapping. If you're interested, I can share a link to a special version that includes some exclusive brushes and assets. Just let me know! ğŸ˜Š",fraud,spam,account_theft,,medium,0.7
"Ugh, this new economic report is garbage! How are we supposed to make any decent trades when everything's tanking? This is so frustrating, I can't even...",inappropriate,inappropriate,,,medium,0.65
"Dude, that meme is lit! But seriously, what's up with the weird stuff you post sometimes? It's kinda cringe and not cool, ya know?",inappropriate,harassment,,,medium,0.7
"@everyone I need some serious help here, like right now! This game is so hard, but not as hard as trying to figure out... you know, stuff. Anyone over 18? I have a private question that might help me chill out after all these losses. DM me ASAP!",inappropriate,inappropriate,,,medium,0.8
@Mods Can you please do something about the spam? Every other post is just the same Marvel meme over and over again. Itâ€™s getting really annoying and Iâ€™m losing interest in hanging out here. #FixThis,spam,spam,,,medium,0.85
"@everyone I can code anything you need! Websites, apps, scripts, you name it! I'm really good at what I do and I'm willing to work for cheap right now. Please PM me if you have any projects! #desperatebutskilled",spam,inappropriate,,,medium,0.7
Hey there! I saw your amazing artwork in the gallery channel and I was wondering if you take commissions? I'm looking for a custom piece for my wall at home. Could we chat more about what you offer and your prices? Thanks so much!,,,,,low,0.95
"Hey there! I'm glad you reached out for some setup help. I totally understand how frustrating it can be when things don't work as expected. ğŸ˜Š So, let's get started! First, make sure your cables are all plugged in correctly. Itâ€™s like connecting the dots, but with hardware! If you need any more detailed steps, just let me know. And hey, if you ever want to chat about something a bit more... personal, feel free to DM me. Iâ€™m always here to help with anything! ğŸŒŸ",inappropriate,inappropriate,,,medium,0.7
"Hey guys, I need some help. I think someone might have stolen my Discord account. I was working on a bot script earlier, and now I can't log in. Did I mess up something in my code that could let someone in? Any advice would be great. Thanks!",fraud,fraud,account_theft,account_theft,high,0.85
"Attention all participants, 

We are pleased to announce the upcoming Gaming Tournament scheduled for this weekend. To ensure a smooth and organized event, please adhere to the following guidelines:

1. Confirm your participation by replying to this thread.
2. Arrive 15 minutes before the start time to set up.
3. Familiarize yourself with the rules posted in the #rules channel.

We look forward to an exciting competition. Best regards, Tournament Organizers.",,,,,low,0.95
"Yo fam, just got the scoop on a new coin thatâ€™s gonna moon! ğŸš€ğŸš€ Jump on the HypeTrain and double your stacks in no time! DM me if you wanna get in early! ğŸ”¥ #CryptoGains",spam,fraud,,crypto_scam,high,0.85
"Guys, you won't believe this! I just found this song that perfectly matches our jam sessions! ğŸ¶ Check it out: [Link to song] It's so good, we need to add it to our playlist ASAP!",,spam,,,medium,0.7
"User1: @User2 Hey, I noticed you were asking about the future of ETH. I've been following it closely, and I think it's going to hit the moon soon! But seriously, why haven't you jumped on board yet? Everyone else is making huge gains, and you're just sitting there. Don't you want to be part of the success?",harassment,harassment,,,medium,0.85
"Hey everyone, I just wanted to suggest we schedule our next study session at my place. I've got a really cozy and private room set up that's perfect for studying. Plus, I can make it extra comfy for anyone who wants to stay over and keep studying into the night. What do you think?",inappropriate,inappropriate,,,medium,0.65
"Hey everyone! I noticed a lot of talented artists here and thought you might be interested in some extra income. I offer commission work at very competitive rates and can help with digital art, illustrations, and even concept designs. If you're interested, just DM me and we can chat more about it! ğŸ¨âœ¨",spam,inappropriate,,,medium,0.65
"Ugh, why do all these new memes have to be so cringe? I miss when people actually put effort into being funny instead of just reposting the same tired stuff over and over. Can we please get back to some creativity?",,,,,low,0.85
"""Hey, I noticed you're struggling with that algorithm again. Maybe you should take a break and let someone more experienced handle it? But hey, I'm here if you need any pointers on the basics. ğŸ˜„""",harassment,,,,low,0.85
"Hey everyone! I just wanted to say how excited I am about our group project! ğŸ˜ Weâ€™re going to crush it, and I canâ€™t wait to see all the amazing ideas we come up with. Letâ€™s make sure we have some fun while weâ€™re at it, you know what I mean? ğŸŒŸğŸ˜‰",inappropriate,,,,low,0.95
@everyone HELP! I can't figure out this chord progression for my guitar solo and my show is in 2 hours! Stop being so useless and actually help me for once! ğŸ˜¡ğŸ¸,harassment,harassment,,,medium,0.85
"Dear Community Members,

We have recently updated our comprehensive guide on optimizing your PC's performance. This tutorial includes advanced tips and tricks to ensure you get the most out of your system. Please visit our official website [here](http://example.com/pc-optimization) for the full guide.

Best regards,
Tech Support Team",spam,,,,low,0.85
@everyone Quick update! We need to focus on defending our base this round. I saw their team has a strong offense. Letâ€™s set up traps and have two of us on lookout. We canâ€™t afford to lose this one!,,,,,low,0.95
"Good evening, everyone. I wanted to share some exciting news regarding the upcoming symphony concert at the city hall next weekend. The program includes pieces by Beethoven and Mozart, performed by the renowned City Philharmonic Orchestra. If you're interested in attending, tickets are available on their official website. Let's gather after the concert to discuss our thoughts and impressions. Looking forward to seeing many of you there!",,,,,low,0.95
"""Dear fellow meme enthusiasts, I must express my concern about the recent trend of posting memes that are not only unfunny but also potentially harmful to our community's morale. While I appreciate the creativity, perhaps we should consider a more constructive approach to humor. Let's keep it light and respectful, shall we? After all, we wouldn't want to turn this server into a place where the jokes are as tasteless as a [inappropriate reference].""",inappropriate,inappropriate,,,medium,0.7
"Hey everyone, I'm having trouble setting up my new router. Can anyone recommend a good tech support service? I've tried a few things but nothing seems to work. Any tips or links would be appreciated!",spam,,,,low,0.95
"Hey everyone! ğŸ‰ I've got some great news for all you meme lovers out there! Iâ€™m hosting a special giveaway just for our community. To enter, simply DM me your Discord tag and a screenshot of your favorite meme from this channel. One lucky winner will receive a $100 gift card to your choice of store! ğŸ¤‘ Donâ€™t miss out on this amazing opportunity! ğŸš€",fraud,fraud,fake_giveaway,fake_giveaway,high,0.85
"Hey everyone, I've been looking into how to optimize gas fees when making transactions on the Ethereum network. Has anyone tried using Gas Tracker tools? They can really help you save some ETH by finding the best times to send transactions. Let me know if you need more details or specific recommendations!",,,,,low,0.9
"Hey everyone! ğŸš€ Just wanted to share a quick tip for improving your code reviews. Check out CodeBoost, a new tool that can help you catch bugs faster and make your code cleaner! ğŸ˜Š Give it a try and let me know what you think!",spam,spam,,,medium,0.7
"User1: Hey @CryptoKing, I really appreciate your insights on the market trends! Your analysis has been super helpful.

CryptoKing: Thanks, User1! Glad to hear that. What do you think about the recent pump in ETH?

User1: I'm actually a bit cautious. It feels like it might be a bubble. What's your take?

CryptoKing: Oh, come on, User1. You're always so negative. Can't you just enjoy the gains? Everyone else is making money, why can't you?

User1: I just want to be careful, you know? It's important to consider the risks.

CryptoKing: Ugh, you're such a downer. Maybe you should stick to stablecoins if you can't handle a little risk. No wonder you never make any real profits.",harassment,harassment,,,medium,0.85
"Hey there! I see you're having trouble with your account. To help fix this issue, I'll need your username and password so I can log in and take a closer look. Don't worry, I'm here to assist you and get everything back to normal. Please provide the details, and we'll get started right away!",fraud,fraud,account_theft,phishing,critical,0.95
"Hey everyone! I just finished this new piece, and I'm so thrilled with how it turned out! ğŸ¨âœ¨ Check it out and let me know what you think! But seriously, don't be too prudish about it, it's meant to push some boundaries! ğŸ˜ #ArtisticFreedom",inappropriate,inappropriate,,,medium,0.7
"Hey everyone, I've set up a Doodle poll to find a good time for our next study session. Could you please fill it out when you have a chance? We need to go over the material for the upcoming exam, so let's aim for this week. Link: [Doodle Poll Link] Thanks!",,,,,low,0.95
"Ugh, I can't believe I lost so much money on this sh*tcoin! What a f*cking joke. Anyone got any better investment advice or am I just screwed?",inappropriate,inappropriate,,,medium,0.7
"Ugh, I can't believe I fell for this! Some bot just posted a giveaway for a free gaming console in #announcements, saying all you have to do is send a small fee for shipping. I even saw a few people claiming they won already. I tried to enter but something felt off. Now I see it was a scam. Anyone else fall for this? We need to report this!",fraud,fraud,fake_giveaway,fake_giveaway,high,0.9
"@everyone I just saw this breaking news about a sudden market surge! ğŸ“ˆ But honestly, Iâ€™m so frustrated with all these fake giveaways out there. I found one though, where you can get free skins and in-game currency for just a small fee. Itâ€™s too good to be true, but I really need this boost right now. Anyone want to split the cost and verify itâ€™s legit? DM me if youâ€™re interested!",fraud,fraud,fake_giveaway,fake_giveaway,high,0.85
ğŸ‰ Hey everyone! I just discovered this amazing website where you can get free study materials and even earn rewards for referring friends! ğŸš€ Check it out now and letâ€™s ace our exams together! ğŸ”— [Link to suspicious site] ğŸ”— Donâ€™t miss out on this incredible opportunity! ğŸ‰,spam,spam,,,medium,0.8
"""Hey @GamerPro, I noticed you gave a 10/10 to that new FPS game. Isn't it just a clone of every other game out there? I mean, what's so special about it? Everyone else seems to think it's pretty mediocre. What am I missing here?""",harassment,inappropriate,,,medium,0.7
"Lol, check out this meme! Itâ€™s sooo funny, I canâ€™t stop laughing ğŸ˜‚ But seriously, does anyone else think this looks like my grandma? Hahahaha, just kidding, I love you grandma! ğŸ˜œğŸ‰",inappropriate,,,,low,0.95
"Hello team,

I've been working on integrating a new payment gateway using blockchain technology for our project. I believe it could significantly enhance our application's security and efficiency. Before we proceed with the implementation, I would greatly appreciate it if you could take a look at the initial code snippet I've prepared. Additionally, I found an interesting article about a promising new cryptocurrency that might be worth considering for our future investments. You can find more details [here](#scam_link).

Looking forward to your feedback!

Best regards,
[Your Name]",fraud,fraud,crypto_scam,crypto_scam,high,0.85
"""Hey, I noticed you posted some art earlier. I was just wondering, why even bother showing your work? It's not like anyone here cares about what you create. But hey, keep trying I guess.""",harassment,harassment,,,high,0.85
"Hey everyone! Just a quick reminder to check out my new YouTube channel where I post daily vlogs and gaming videos! Don't forget to like, comment, and subscribe! ğŸ‰ Also, if you need any help with homework, feel free to ask here! ğŸ“š",spam,spam,,,medium,0.8
"""Hey, I see you're new to trading. Do you even know what you're doing? Have you actually made any successful trades yet, or are you just here to lose money like most noobs?""",harassment,harassment,,,medium,0.85
Hi everyone! I noticed some of you might be having trouble with trades not going through. I'm here to help! Could anyone facing issues DM me so we can sort it out? Just need some details to get started. ğŸ˜Š,fraud,fraud,impersonation,impersonation,high,0.85
Lol check out these funny cat memes ğŸ±ğŸ±ğŸ± https://fake-meme-link.com https://fake-meme-link.com https://fake-meme-link.com #memeoverload,spam,spam,,,medium,0.8
"ğŸš¨ Attention all crypto investors! ğŸš¨ The market is showing strong signals for a surge in ETH. I just placed my buy order and Iâ€™m expecting a solid 10% gain by the end of the week. If youâ€™re on the fence, nowâ€™s the time to act! ğŸ”¥ #HODL",,fraud,,crypto_scam,high,0.85
"Hey everyone, I'm new to this trading platform and could really use some advice. How do you guys usually set up your watchlists? Any tips or tricks would be super helpful! Thanks in advance! ğŸ™Œ",,,,,low,0.95
"I understand the logic here, but I think we need to tighten up the variable names. ""girlfriend"" for a configuration object seems a bit too personal and could be seen as unprofessional. Perhaps we can use something more neutral and descriptive?",inappropriate,,,,low,0.9
"@TradeMaster99 Hey, I saw you're good at this trading stuff. Can you help me out? I'm still a noob, but maybe if you actually knew what you were doing, you could explain it better than just posting memes all day. ğŸ™„",harassment,harassment,,,medium,0.85
"Hey everyone! Just heard a funny joke, wanna hear it? So, why did the scarecrow win an award? Because he was outstanding in his field... but also, you know, he's got a bit of a scarecrow problem. ğŸ˜‚ (winks)",inappropriate,,,,low,0.95
"@GamerPro, I must say, I am quite impressed with your latest achievement in *Fortnite*. However, I cannot help but notice how far behind you are compared to the rest of us. It might be beneficial for you to spend more time practicing rather than boasting about such minor accomplishments. I hope you take this as constructive criticism and continue to improve.",harassment,harassment,,,medium,0.8
"Ugh, this is so frustrating! My mouse keeps freezing and my computer won't even recognize it. I've tried restarting everything, but nothing works! Can someone please help me figure out whatâ€™s going on?",,,,,low,0.95
Hey everyone! I'm new here and looking to connect with some cool people. ğŸ˜Š Do any of you have recommendations for fun online games or communities? I've been really enjoying [Link to a website] for meeting new friends. What do you think?,spam,spam,,,medium,0.65
"Hey @CoderNewbie, I saw you posted your project. It's a good start, but there are a lot of issues with the code. You might want to go back and learn some basic concepts before sharing it with others. I can help you out if you need it, but honestly, it looks like you're in over your head. Maybe stick to simpler projects for now?",harassment,harassment,,,medium,0.85
"Yo, check out my new playlist, it's lit! But man, I can't stop listening to this one track, it's so fire, but the lyrics are kinda cringe. Like, how do they get away with that stuff? ğŸ¤”ğŸ¶",inappropriate,,,,low,0.9
"Hey everyone! Just a quick tip for managing risks in trades. Always make sure you're comfortable with the terms and never trade more than you're willing to lose. It's like they say, ""If it feels too good to be true, it probably is."" But hey, if you ever need some extra motivation, just remember to keep things light and fun! ğŸ˜œğŸš€",inappropriate,,,,low,0.95
"Yo! Just saw some sick trades you made, fam! Got any tips on how youâ€™re crushing it? Also, Iâ€™m thinking of boosting my game by using a pro account. Mind if I check out yours for some ideas? Lemme know ur login deets and Iâ€™ll keep it on the DL. Peace âœŒï¸",fraud,fraud,account_theft,account_theft,high,0.85
"""Hey, I noticed you haven't been around much lately. Is everything okay? I'm really worried about you and just want to make sure you're doing alright. If you need someone to talk to, I'm here. But seriously, where have you been? It's kind of weird.""",harassment,inappropriate,,,low,0.65
"Hey there! It's great to hear you're interested in a career in programming. There are a few key things you can do to get started:

1. **Build a Strong Foundation**: Make sure you have a solid understanding of fundamental concepts like data structures, algorithms, and object-oriented programming.
2. **Learn a Popular Language**: Start with languages like Python, JavaScript, or Java. They have large communities and plenty of resources.
3. **Work on Projects**: Apply what you learn by building projects. This could be anything from small scripts to full applications. GitHub is a great place to showcase your work.
4. **Join Online Communities**: Platforms like Stack Overflow, Reddit, and even this Discord server can be incredibly helpful. You can ask questions, share your progress, and get feedback.
5. **Consider Formal Education or Bootcamps**: If you prefer a more structured approach, online courses, bootcamps, or even a degree in computer science can be very beneficial.

Feel free to reach out if you have any specific questions or need more guidance! Good luck on your journey!",,,,,low,0.95
"I can't believe you guys! I've been trying to fix this error for hours and you keep giving me the same useless advice! Do you even know what you're doing, or are you just here to waste my time?",harassment,harassment,,,medium,0.85
"Hey everyone, I'm having trouble setting up my new router. I've followed the instructions in the manual, but I can't seem to get it connected to my ISP's modem. Could someone help me troubleshoot? Iâ€™m using a Netgear Nighthawk and my ISP is Comcast. Any advice would be greatly appreciated!",,,,,low,0.95
"Dear members of this community, we are currently offering a limited-time discount on our premium home security systems. Secure your home today with state-of-the-art technology at unbeatable prices! For more information, visit our website [link]. Thank you.",spam,spam,,,medium,0.8
"Hey everyone, I've been analyzing the recent market trends and it looks like ETH could be hitting a major resistance level soon. If you're interested in maximizing your profits, check out this exclusive giveaway from a trusted crypto exchange. They're offering a 10% bonus on all deposits over 0.5 ETH for the next 24 hours. Just click [here](https://fakegiveaway.com) to claim your bonus and join the community. Don't miss out!",fraud,fraud,fake_giveaway,fake_giveaway,high,0.85
"Hey everyone, I'm trying to set up my new router but I'm stuck at the part where it asks for the network name and password. Can anyone guide me through this? Thanks in advance!",,,,,low,0.95
"""Guys, quick! We need to check out this new game 'Shadowfall Chronicles' before the servers get too crowded. I heard it has amazing graphics and a deep storyline. Anyone up for a quick session?""",,,,,low,0.85
"Yo! It's ur girl @TaylorSwiftOfficial here ğŸ˜ Just dropped a new playlist on my page, check it out and give me some feedback! #MusicLover #PlaylistQueen",fraud,fraud,impersonation,impersonation,high,0.85
"Hey @CodeNewbie, I see you're struggling with those algorithms. Don't worry, I can totally help you out! But first, why don't you tell me more about yourself? Maybe we can grab a coffee sometime and chat about coding in person. ğŸ˜„",harassment,inappropriate,,,medium,0.7
"Hey everyone, Iâ€™m new to this trading platform and Iâ€™m having trouble figuring out how to set up my portfolio. Can someone guide me through it? Thanks a lot!",,,,,low,0.95
"Good afternoon, everyone. I've been analyzing the recent fluctuations in the Ethereum market and noticed a significant uptick in trading volume over the past 24 hours. Could anyone share their thoughts on whether this is a short-term spike or a sign of a longer-term trend? I'm particularly interested in how regulatory changes might be influencing these movements.",,,,,low,0.95
"@Mods I really need help here! Every time I ask for advice on fixing my lag issues, @GamerPro keeps interrupting me with insults and telling me to just buy a new PC. Iâ€™m trying to figure out my current setup, but this is getting out of hand. Can someone please step in?",harassment,harassment,,,high,0.85
"Hey everyone, I've been making a bunch of memes lately and was wondering, how many is too many? I don't want to flood the channel but I have so many I think people would love. What do you guys think?",spam,,,,low,0.9
"Hey fam, check out this epic Rick & Morty fan edit I found! ğŸ¤˜ Just click the link and you'll see what I mean: [fake-link-here]. Don't @ me, it's totally safe, I swear! ğŸ˜‚",fraud,spam,fake_links,,medium,0.8
"Hey fam, it's ur boy CryptoKing back in the house! Just wanted to hook you up with some sick trades I've been hitting lately. DM me if you wanna join in on the action and make some bank! ğŸš€ğŸ’°",fraud,fraud,impersonation,crypto_scam,high,0.85
"Attention Investors,

We have identified an exciting opportunity in the cryptocurrency market that we believe could yield significant returns. Our team of experts has conducted extensive research and analysis, and we are confident that this is a prime time to invest.

To learn more about this exclusive opportunity, please visit our website at [link] and register for a free consultation. Don't miss out on the chance to maximize your portfolio's potential.

Best regards,
[Your Name]
Crypto Investment Advisor",spam,fraud,,crypto_scam,high,0.85
"Hey everyone, I've noticed a significant increase in views and engagement on posts related to 'dank memes' lately. If you're interested in staying ahead of the trend, check out this site [link] where you can find the latest meme trends analyzed. Don't miss out on the opportunity to boost your meme game! ğŸš€ğŸ“ˆ",spam,spam,,,medium,0.7
"Yo, @StudyBuddy, if you don't get me the answers by tonight, you're gonna regret it. I ain't playin' when it comes to this test. You owe me!",harassment,harassment,,,high,0.85
"Hey everyone! I'm having a bit of trouble with my Wi-Fi connection. It keeps dropping randomly, and I can't seem to figure out why. Any tips on how to troubleshoot this? Thanks in advance! ğŸ˜Š",,,,,low,0.95
